2020-04-21 00:04:587 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-21 00:04:91 INFO  HomePage :27 - Clicking on accept button [[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //span[@class='button-text']]
2020-04-21 00:04:161 INFO  HomePage :39 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-21 00:04:472 INFO  FlightsPage :39 - Flying from London (LHR-Heathrow) flying field [[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-21 00:04:681 INFO  FlightsPage :45 - Going to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)going field [[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-21 00:04:694 INFO  FlightsPage :51 - Departing Date 20/12/2020Date field[[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-21 00:04:894 INFO  FlightsPage :59 - Returning Date21/01/2021Return date field[[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-21 00:04:269 INFO  FlightsPage :65 - Clicking on Travellers button[[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //div[@class='menu-bar gcw-travel-selector-wrapper']//button[@class='trigger-utility menu-trigger btn-utility btn-secondary dropdown-toggle theme-standard pin-left menu-arrow gcw-component gcw-traveler-amount-select gcw-component-initialized']]
2020-04-21 00:04:721 INFO  FlightsPage :71 - Clicking on adult [[ChromeDriver: chrome on WINDOWS (634081ec262d0e4c4de5470c831d28f0)] -> xpath: //body[contains(@class,'')]/meso-native-marquee/section[@id='WizardHero']/div[@id='hero-banner']/div[contains(@class,'hero-banner-gradient native-marquee')]/div[contains(@class,'cols-row hero-banner-inner')]/section[@id='wizardSection']/div[contains(@class,'hero-banner-box siteId-3 cf hideClassicDcol')]/div[@id='wizard-tabs']/div[contains(@class,'tabs-container col')]/section[@id='section-flight-tab-hp']/form[@id='gcw-flights-form-hp-flight']/fieldset[contains(@class,'room-data')]/div[contains(@class,'cols-nested')]/div[contains(@class,'ab25184-traveler-wrapper-flight available-for-flights gcw-clear-both')]/div[@id='traveler-selector-hp-flight']/div[contains(@class,'menu-bar gcw-travel-selector-wrapper')]/ul[contains(@class,'menu-bar-inner')]/li[contains(@class,'open')]/div[contains(@class,'menu sticky gcw-menu')]/div[contains(@class,'menu-main')]/div[contains(@class,'traveler-selector-sinlge-room-data traveler-selector-room-data')]/div[contains(@class,'uitk-grid step-input-outside gcw-component gcw-component-step-input gcw-step-input gcw-component-initialized')]/div[contains(@class,'uitk-col all-col-shrink')]/button[contains(@class,'uitk-step-input-button uitk-step-input-plus')]/span[1]//*[local-name()='svg']]
2020-04-21 00:04:701 INFO  FlightsPage :77 - Clicking on close button Proxy element for: DefaultElementLocator 'By.xpath: //li[contains(@class,'open')]//button[contains(@class,'close btn-text')]'
2020-04-21 00:04:741 INFO  FlightsPage :83 - Clicking on search button Proxy element for: DefaultElementLocator 'By.xpath: //form[@id='gcw-flights-form-hp-flight']//button[contains(@class,'btn-primary btn-action gcw-submit')]'
